latitude,longitude,time,date,temperature,windspeed,winddirection
-12.5,96.8333,2025-01-26T20:45,2025-01-26T20:45,28.1,9.7,92
4.0,-72.0,2025-01-26T20:45,2025-01-26T20:45,30.4,14.0,55
-12.1667,44.25,2025-01-26T20:45,2025-01-26T20:45,29.0,23.1,356
-1.0,15.0,2025-01-26T20:45,2025-01-26T20:45,24.9,6.9,261
0.0,25.0,2025-01-26T20:45,2025-01-26T20:45,25.4,0.8,117
-21.2333,-159.7667,2025-01-26T20:45,2025-01-26T20:45,25.1,11.4,24
10.0,-84.0,2025-01-26T20:45,2025-01-26T20:45,21.1,20.2,39
8.0,-5.0,2025-01-26T20:45,2025-01-26T20:45,30.4,14.1,176
45.1667,15.5,2025-01-26T20:45,2025-01-26T20:45,8.4,7.4,209
21.5,-80.0,2025-01-26T20:45,2025-01-26T20:45,26.2,35.3,54
35.0,33.0,2025-01-26T20:45,2025-01-26T20:45,6.6,4.5,194
49.75,15.5,2025-01-26T20:45,2025-01-26T20:45,2.0,8.0,162
56.0,10.0,2025-01-26T20:45,2025-01-26T20:45,2.0,10.8,147
11.5,43.0,2025-01-26T20:45,2025-01-26T20:45,22.5,10.6,108
15.4167,-61.3333,2025-01-26T20:45,2025-01-26T20:45,22.2,15.5,77
19.0,-70.6667,2025-01-26T20:45,2025-01-26T20:45,19.9,9.5,53
-2.0,-77.5,2025-01-26T20:45,2025-01-26T20:45,28.0,7.2,6
27.0,30.0,2025-01-26T20:45,2025-01-26T20:45,13.9,11.2,327
13.8333,-88.9167,2025-01-26T20:45,2025-01-26T20:45,30.0,21.7,42
2.0,10.0,2025-01-26T20:45,2025-01-26T20:45,24.5,3.0,166
15.0,39.0,2025-01-26T20:45,2025-01-26T20:45,13.9,7.1,30
59.0,26.0,2025-01-26T20:45,2025-01-26T20:45,1.1,3.6,167
8.0,38.0,2025-01-26T20:45,2025-01-26T20:45,12.2,5.2,326
-51.75,-59.0,2025-01-26T20:45,2025-01-26T20:45,16.7,32.8,1
62.0,-7.0,2025-01-26T20:45,2025-01-26T20:45,4.2,16.9,223
-18.0,175.0,2025-01-26T20:45,2025-01-26T20:45,28.5,12.6,66
64.0,26.0,2025-01-26T20:45,2025-01-26T20:45,0.3,10.8,215
46.0,2.0,2025-01-26T20:45,2025-01-26T20:45,8.3,24.1,179
4.0,-53.0,2025-01-26T20:45,2025-01-26T20:45,24.5,8.4,50
-15.0,-140.0,2025-01-26T20:45,2025-01-26T20:45,26.7,26.3,90
-43.0,67.0,2025-01-26T20:45,2025-01-26T20:45,14.0,37.6,310
-1.0,11.75,2025-01-26T20:45,2025-01-26T20:45,22.8,0.4,180
13.4667,-16.5667,2025-01-26T20:45,2025-01-26T20:45,24.5,7.1,311
42.0,43.5,2025-01-26T20:45,2025-01-26T20:45,-0.1,10.9,99
51.0,9.0,2025-01-26T20:45,2025-01-26T20:45,1.5,9.7,182
8.0,-2.0,2025-01-26T20:45,2025-01-26T20:45,29.5,5.6,140
36.1833,-5.3667,2025-01-26T20:45,2025-01-26T20:45,16.9,10.5,218
39.0,22.0,2025-01-26T20:45,2025-01-26T20:45,9.3,7.6,265
72.0,-40.0,2025-01-26T20:45,2025-01-26T20:45,-38.0,13.3,49
12.1167,-61.6667,2025-01-26T20:45,2025-01-26T20:45,25.9,10.9,96
16.25,-61.5833,2025-01-26T20:45,2025-01-26T20:45,25.9,15.5,93
13.4667,144.7833,2025-01-26T20:45,2025-01-26T20:45,25.7,7.5,125
15.5,-90.25,2025-01-26T20:45,2025-01-26T20:45,17.6,10.2,67
49.5,-2.56,2025-01-26T20:45,2025-01-26T20:45,9.8,34.0,159
11.0,-10.0,2025-01-26T20:45,2025-01-26T20:45,27.8,6.3,77
12.0,-15.0,2025-01-26T20:45,2025-01-26T20:45,27.0,5.9,346
5.0,-59.0,2025-01-26T20:45,2025-01-26T20:45,28.0,6.2,21
19.0,-72.4167,2025-01-26T20:45,2025-01-26T20:45,29.5,15.1,40
-53.1,72.5167,2025-01-26T20:45,2025-01-26T20:45,3.5,72.6,265
41.9,12.45,2025-01-26T20:45,2025-01-26T20:45,9.9,3.9,146
15.0,-86.5,2025-01-26T20:45,2025-01-26T20:45,22.1,16.0,14
22.25,114.1667,2025-01-26T20:45,2025-01-26T20:45,8.9,21.5,10
47.0,20.0,2025-01-26T20:45,2025-01-26T20:45,4.2,9.7,179
65.0,-18.0,2025-01-26T20:45,2025-01-26T20:45,-9.1,11.5,294
20.0,77.0,2025-01-26T20:45,2025-01-26T20:45,19.5,3.3,283
-5.0,120.0,2025-01-26T20:45,2025-01-26T20:45,24.2,5.9,313
32.0,53.0,2025-01-26T20:45,2025-01-26T20:45,6.7,5.2,124
33.0,44.0,2025-01-26T20:45,2025-01-26T20:45,11.9,6.7,324
53.0,-8.0,2025-01-26T20:45,2025-01-26T20:45,5.6,27.7,175
54.23,-4.55,2025-01-26T20:45,2025-01-26T20:45,4.2,28.4,144
31.5,34.75,2025-01-26T20:45,2025-01-26T20:45,10.4,4.3,114
42.8333,12.8333,2025-01-26T20:45,2025-01-26T20:45,6.2,5.8,112
18.25,-77.5,2025-01-26T20:45,2025-01-26T20:45,22.3,18.1,69
36.0,138.0,2025-01-26T20:45,2025-01-26T20:45,-5.8,3.3,167
49.21,-2.13,2025-01-26T20:45,2025-01-26T20:45,9.1,64.3,163
31.0,36.0,2025-01-26T20:45,2025-01-26T20:45,9.6,6.9,321
48.0,68.0,2025-01-26T20:45,2025-01-26T20:45,-15.6,4.0,63
1.0,38.0,2025-01-26T20:45,2025-01-26T20:45,24.9,5.3,208
1.4167,173.0,2025-01-26T20:45,2025-01-26T20:45,27.2,29.7,97
40.0,127.0,2025-01-26T20:45,2025-01-26T20:45,-7.2,22.1,97
37.0,127.5,2025-01-26T20:45,2025-01-26T20:45,-0.1,7.6,188
29.3375,47.6581,2025-01-26T20:45,2025-01-26T20:45,14.1,2.0,225
41.0,75.0,2025-01-26T20:45,2025-01-26T20:45,-13.9,5.5,212
18.0,105.0,2025-01-26T20:45,2025-01-26T20:45,9.4,12.8,10
57.0,25.0,2025-01-26T20:45,2025-01-26T20:45,4.2,9.7,162
33.8333,35.8333,2025-01-26T20:45,2025-01-26T20:45,4.8,5.1,4
-29.5,28.5,2025-01-26T20:45,2025-01-26T20:45,12.4,7.6,82
6.5,-9.5,2025-01-26T20:45,2025-01-26T20:45,25.5,10.0,218
25.0,17.0,2025-01-26T20:45,2025-01-26T20:45,16.5,12.3,52
47.1667,9.5333,2025-01-26T20:45,2025-01-26T20:45,7.5,12.5,123
56.0,24.0,2025-01-26T20:45,2025-01-26T20:45,4.7,15.1,189
49.75,6.1667,2025-01-26T20:45,2025-01-26T20:45,4.2,22.3,176
22.1667,113.55,2025-01-26T20:45,2025-01-26T20:45,9.4,18.4,354
41.8333,22.0,2025-01-26T20:45,2025-01-26T20:45,4.4,2.4,333
-20.0,47.0,2025-01-26T20:45,2025-01-26T20:45,20.8,6.1,3
-13.5,34.0,2025-01-26T20:45,2025-01-26T20:45,21.0,6.5,267
2.5,112.5,2025-01-26T20:45,2025-01-26T20:45,22.4,1.5,104
3.25,73.0,2025-01-26T20:45,2025-01-26T20:45,27.5,16.6,88
17.0,-4.0,2025-01-26T20:45,2025-01-26T20:45,27.9,11.0,49
35.8333,14.5833,2025-01-26T20:45,2025-01-26T20:45,15.5,6.2,306
9.0,168.0,2025-01-26T20:45,2025-01-26T20:45,27.5,34.9,64
14.6667,-61.0,2025-01-26T20:45,2025-01-26T20:45,25.0,13.3,77
20.0,-12.0,2025-01-26T20:45,2025-01-26T20:45,20.6,11.5,76
-20.2833,57.55,2025-01-26T20:45,2025-01-26T20:45,21.6,6.3,66
-12.8333,45.1667,2025-01-26T20:45,2025-01-26T20:45,28.5,17.4,347
23.0,-102.0,2025-01-26T20:45,2025-01-26T20:45,22.5,8.5,234
6.9167,158.25,2025-01-26T20:45,2025-01-26T20:45,25.1,14.7,73
47.0,29.0,2025-01-26T20:45,2025-01-26T20:45,5.8,15.8,163
43.7333,7.4,2025-01-26T20:45,2025-01-26T20:45,7.7,5.8,266
46.0,105.0,2025-01-26T20:45,2025-01-26T20:45,-23.4,6.9,279
42.0,19.0,2025-01-26T20:45,2025-01-26T20:45,15.6,24.2,184
16.75,-62.2,2025-01-26T20:45,2025-01-26T20:45,24.4,28.5,80
32.0,-5.0,2025-01-26T20:45,2025-01-26T20:45,9.1,3.0,346
-18.25,35.0,2025-01-26T20:45,2025-01-26T20:45,25.0,8.4,239
22.0,98.0,2025-01-26T20:45,2025-01-26T20:45,11.2,5.0,240
-22.0,17.0,2025-01-26T20:45,2025-01-26T20:45,20.9,8.4,20
-0.5333,166.9167,2025-01-26T20:45,2025-01-26T20:45,27.2,27.5,85
28.0,84.0,2025-01-26T20:45,2025-01-26T20:45,8.2,6.1,310
52.5,5.75,2025-01-26T20:45,2025-01-26T20:45,2.7,25.6,148
12.25,-68.75,2025-01-26T20:45,2025-01-26T20:45,27.3,29.4,78
-21.5,165.5,2025-01-26T20:45,2025-01-26T20:45,27.4,4.7,90
-41.0,174.0,2025-01-26T20:45,2025-01-26T20:45,17.9,19.4,259
13.0,-85.0,2025-01-26T20:45,2025-01-26T20:45,25.9,18.5,33
16.0,8.0,2025-01-26T20:45,2025-01-26T20:45,20.6,14.0,61
10.0,8.0,2025-01-26T20:45,2025-01-26T20:45,21.8,9.2,51
-19.0333,-169.8667,2025-01-26T20:45,2025-01-26T20:45,26.6,11.1,119
-29.0333,167.95,2025-01-26T20:45,2025-01-26T20:45,22.6,17.9,170
15.2,145.75,2025-01-26T20:45,2025-01-26T20:45,24.9,7.6,121
62.0,10.0,2025-01-26T20:45,2025-01-26T20:45,-3.6,35.6,177
21.0,57.0,2025-01-26T20:45,2025-01-26T20:45,17.0,6.8,148
30.0,70.0,2025-01-26T20:45,2025-01-26T20:45,7.3,11.4,298
7.5,134.5,2025-01-26T20:45,2025-01-26T20:45,26.9,12.3,50
32.0,35.25,2025-01-26T20:45,2025-01-26T20:45,9.6,2.3,252
9.0,-80.0,2025-01-26T20:45,2025-01-26T20:45,28.4,15.2,346
-6.0,147.0,2025-01-26T20:45,2025-01-26T20:45,26.5,5.6,225
-23.0,-58.0,2025-01-26T20:45,2025-01-26T20:45,37.3,4.0,10
-10.0,-76.0,2025-01-26T20:45,2025-01-26T20:45,11.6,11.2,75
13.0,122.0,2025-01-26T20:45,2025-01-26T20:45,25.5,21.3,26
-24.7,-127.4,2025-01-26T20:45,2025-01-26T20:45,25.4,16.9,38
52.0,20.0,2025-01-26T20:45,2025-01-26T20:45,6.3,11.5,212
39.5,-8.0,2025-01-26T20:45,2025-01-26T20:45,15.4,20.0,218
18.25,-66.5,2025-01-26T20:45,2025-01-26T20:45,26.2,18.9,81
25.5,51.25,2025-01-26T20:45,2025-01-26T20:45,16.2,10.0,334
-21.1,55.6,2025-01-26T20:45,2025-01-26T20:45,19.4,2.1,149
46.0,25.0,2025-01-26T20:45,2025-01-26T20:45,1.5,3.6,45
60.0,100.0,2025-01-26T20:45,2025-01-26T20:45,-24.6,3.9,34
-2.0,30.0,2025-01-26T20:45,2025-01-26T20:45,17.7,3.1,306
-15.9333,-5.7,2025-01-26T20:45,2025-01-26T20:45,23.4,11.6,116
17.3333,-62.75,2025-01-26T20:45,2025-01-26T20:45,22.9,24.1,76
13.8833,-61.1333,2025-01-26T20:45,2025-01-26T20:45,26.7,15.6,98
46.8333,-56.3333,2025-01-26T20:45,2025-01-26T20:45,-3.9,31.5,251
13.25,-61.2,2025-01-26T20:45,2025-01-26T20:45,23.9,12.6,87
-13.5833,-172.3333,2025-01-26T20:45,2025-01-26T20:45,25.1,7.7,41
43.7667,12.4167,2025-01-26T20:45,2025-01-26T20:45,7.7,19.6,221
1.0,7.0,2025-01-26T20:45,2025-01-26T20:45,27.5,5.1,141
25.0,45.0,2025-01-26T20:45,2025-01-26T20:45,11.3,8.8,55
14.0,-14.0,2025-01-26T20:45,2025-01-26T20:45,29.2,9.4,23
44.0,21.0,2025-01-26T20:45,2025-01-26T20:45,6.6,7.3,147
-4.5833,55.6667,2025-01-26T20:45,2025-01-26T20:45,27.4,10.5,301
8.5,-11.5,2025-01-26T20:45,2025-01-26T20:45,26.7,1.9,248
1.3667,103.8,2025-01-26T20:45,2025-01-26T20:45,25.1,6.6,22
48.6667,19.5,2025-01-26T20:45,2025-01-26T20:45,2.2,10.8,207
46.0,15.0,2025-01-26T20:45,2025-01-26T20:45,7.5,7.0,258
-8.0,159.0,2025-01-26T20:45,2025-01-26T20:45,27.4,3.4,72
10.0,49.0,2025-01-26T20:45,2025-01-26T20:45,15.4,6.4,27
-29.0,24.0,2025-01-26T20:45,2025-01-26T20:45,27.3,4.0,270
-54.5,-37.0,2025-01-26T20:45,2025-01-26T20:45,2.8,29.9,146
8.0,30.0,2025-01-26T20:45,2025-01-26T20:45,23.0,7.9,0
40.0,-4.0,2025-01-26T20:45,2025-01-26T20:45,12.9,15.3,225
7.0,81.0,2025-01-26T20:45,2025-01-26T20:45,20.0,11.3,351
15.0,30.0,2025-01-26T20:45,2025-01-26T20:45,20.5,16.2,348
4.0,-56.0,2025-01-26T20:45,2025-01-26T20:45,27.3,5.5,23
78.0,20.0,2025-01-26T20:45,2025-01-26T20:45,-6.5,19.4,50
-26.5,31.5,2025-01-26T20:45,2025-01-26T20:45,22.0,5.6,130
62.0,15.0,2025-01-26T20:45,2025-01-26T20:45,-4.7,8.3,196
47.0,8.0,2025-01-26T20:45,2025-01-26T20:45,4.0,6.4,232
35.0,38.0,2025-01-26T20:45,2025-01-26T20:45,6.2,7.6,175
23.5,121.0,2025-01-26T20:45,2025-01-26T20:45,2.1,4.9,234
39.0,71.0,2025-01-26T20:45,2025-01-26T20:45,-8.4,10.1,153
-6.0,35.0,2025-01-26T20:45,2025-01-26T20:45,22.6,8.0,306
15.0,100.0,2025-01-26T20:45,2025-01-26T20:45,21.3,21.8,81
-8.55,125.5167,2025-01-26T20:45,2025-01-26T20:45,27.9,3.6,186
8.0,1.1667,2025-01-26T20:45,2025-01-26T20:45,30.4,4.9,36
-9.0,-172.0,2025-01-26T20:45,2025-01-26T20:45,28.1,18.7,56
-20.0,-175.0,2025-01-26T20:45,2025-01-26T20:45,27.0,18.5,103
11.0,-61.0,2025-01-26T20:45,2025-01-26T20:45,27.6,11.6,97
34.0,9.0,2025-01-26T20:45,2025-01-26T20:45,13.4,1.5,14
39.0,35.0,2025-01-26T20:45,2025-01-26T20:45,2.3,3.7,259
40.0,60.0,2025-01-26T20:45,2025-01-26T20:45,1.0,3.7,29
21.75,-71.5833,2025-01-26T20:45,2025-01-26T20:45,24.9,26.7,61
-8.0,178.0,2025-01-26T20:45,2025-01-26T20:45,29.1,27.7,65
1.0,32.0,2025-01-26T20:45,2025-01-26T20:45,19.8,3.8,229
49.0,32.0,2025-01-26T20:45,2025-01-26T20:45,5.2,17.0,174
24.0,54.0,2025-01-26T20:45,2025-01-26T20:45,16.6,5.0,291
54.0,-2.0,2025-01-26T20:45,2025-01-26T20:45,2.8,11.6,150
38.0,-97.0,2025-01-26T20:45,2025-01-26T20:45,-0.3,11.9,355
19.2833,166.6,2025-01-26T20:45,2025-01-26T20:45,27.2,22.5,139
-33.0,-56.0,2025-01-26T20:45,2025-01-26T20:45,28.8,16.3,62
41.0,64.0,2025-01-26T20:45,2025-01-26T20:45,-3.1,5.5,281
-16.0,167.0,2025-01-26T20:45,2025-01-26T20:45,28.5,8.4,115
8.0,-66.0,2025-01-26T20:45,2025-01-26T20:45,32.4,18.2,98
16.0,106.0,2025-01-26T20:45,2025-01-26T20:45,15.4,18.9,48
18.5,-64.5,2025-01-26T20:45,2025-01-26T20:45,26.4,26.9,82
18.3333,-64.8333,2025-01-26T20:45,2025-01-26T20:45,26.4,25.2,80
-13.3,-176.2,2025-01-26T20:45,2025-01-26T20:45,27.9,12.4,60
24.5,-13.0,2025-01-26T20:45,2025-01-26T20:45,22.9,11.2,50
15.0,48.0,2025-01-26T20:45,2025-01-26T20:45,13.6,4.7,157
-15.0,30.0,2025-01-26T20:45,2025-01-26T20:45,22.8,3.1,291
-20.0,30.0,2025-01-26T20:45,2025-01-26T20:45,21.3,6.4,153
